creative_id,ad_instance_count,duplicate_instance_count,buckets,exact_landers,landing_urls,representative_ad_id,all_ad_ids,title,first_line,page_hook,image_sha256,ad_image,image_width,image_height,score_range,capture_statuses,ad_awareness,ad_lever,ad_lead_pattern,ad_funnel_intent,ad_promise_type,ad_proof_anchor_type,ad_voice_register,representative_ad_body
"C001","9","8","GLP","GLP / 10-reasons-glp","https://mengotomars.com/pages/10-reasons-glp","94903611","94903611, 94284666, 94284377, 94284350, 94284582, 94284507, 94284291, 95129975, 95129974","What GLP-1 Does to Your T Levels","The weight's coming off. But so is your testosterone. GLP-1 meds are incredible for dropping pounds.","10 Reasons Why This Natural Testosterone Support Supplement Crushes TRT – Mars Men","9e8258a1f18266606a0ae97cd85c2ada8200275f03b6f658984e9ca8d09f762b","mars-men-static-canonical-recipes-share/assets/remote/098bb8ed87aa-media-00e7d202abe0.jpg","1080","1920","81-91","failed","Problem-Aware","Curiosity","Story","cold_acquisition","cost_savings","no_anchor","conversational_friend","The weight's coming off. But so is your testosterone. GLP-1 meds are incredible for dropping pounds.

Nobody's arguing that. But here's what your prescribing doctor probably didn't mention.

Rapid weight loss triggers a massive cortisol spike.

Cortisol tanks testosterone production at the source. Your body starts burning muscle for fuel instead of protecting it. Your energy craters. Your drive disappears. Your strength fades.

You're thinner — but weaker, foggier, and running on fumes. That's not a win.

Mars Men was built to protect what GLP-1s are quietly destroying.

Tongkat Ali blocks the cortisol spike that crashes your T during rapid weight loss.

Boron lowers SHBG so the testosterone you still have isn't locked up and useless. 8 clinically-dosed ingredients attacking the problem from every angle.

This isn't theory. 91% of men in a 1,000-person survey reported higher energy within 90 days. 87% reported increased strength. Results backed by bloodwork, not promises.

Right now it's 50% off with a full 90-day money-back guarantee.

Read the 10 reasons men on GLP-1s are adding this to their daily stack."
"C002","7","6","GLP","GLP / 10-reasons-glp","https://mengotomars.com/pages/10-reasons-glp","94903470","94903470, 94284844, 94284842, 94903493, 94284384, 94284378, 94284374","What GLP-1 Does to Your T Levels","The weight's coming off. But so is your testosterone. GLP-1 meds are incredible for dropping pounds.","10 Reasons Why This Natural Testosterone Support Supplement Crushes TRT – Mars Men","f8df570293df9ce055d6b1c2482d5c4d08de741096ca0342c2dae12b7fb3cfb7","mars-men-static-canonical-recipes-share/assets/remote/76b0be9a7bca-media-c88282798474.jpg","1080","1350","91-91","failed","Problem-Aware","Curiosity","Story","cold_acquisition","cost_savings","no_anchor","conversational_friend","The weight's coming off. But so is your testosterone. GLP-1 meds are incredible for dropping pounds.

Nobody's arguing that. But here's what your prescribing doctor probably didn't mention.

Rapid weight loss triggers a massive cortisol spike.

Cortisol tanks testosterone production at the source. Your body starts burning muscle for fuel instead of protecting it. Your energy craters. Your drive disappears. Your strength fades.

You're thinner — but weaker, foggier, and running on fumes. That's not a win.

Mars Men was built to protect what GLP-1s are quietly destroying.

Tongkat Ali blocks the cortisol spike that crashes your T during rapid weight loss.

Boron lowers SHBG so the testosterone you still have isn't locked up and useless. 8 clinically-dosed ingredients attacking the problem from every angle.

This isn't theory. 91% of men in a 1,000-person survey reported higher energy within 90 days. 87% reported increased strength. Results backed by bloodwork, not promises.

Right now it's 50% off with a full 90-day money-back guarantee.

Read the 10 reasons men on GLP-1s are adding this to their daily stack."
"C003","4","3","GLP","GLP / 10-reasons-glp","https://mengotomars.com/pages/10-reasons-glp","94903631","94903631, 95129831, 94903796, 94903342","Keep Muscle + Metabolism on GLP-1s","GLP-1s suppress appetite so hard your body starts eating muscle for fuel not fat.","10 Reasons Why This Natural Testosterone Support Supplement Crushes TRT – Mars Men","43431105b689dc7a269b586d95a7729460a708fad8e6815fe767cbf58ee5b934","mars-men-static-canonical-recipes-share/assets/remote/c1ba5e281eac-media-da2f81639f04.jpg","1080","1350","91-91","failed","Most-Aware","Curiosity","Story","cold_acquisition","cost_savings","no_anchor","conversational_friend","GLP-1s suppress appetite so hard your body starts eating muscle for fuel not fat.

Mars Men keeps muscle strong, metabolism firing, and T levels protected as fat drops. Natural, third-party tested, and safe no needles, no shutdown. 💪

Get your edge back while burning fat.

👉 50% OFF for a limited time."
"C004","3","2","GLP","GLP / 10-reasons-glp","https://mengotomars.com/pages/10-reasons-glp","94903638","94903638, 94903546, 94903532","What GLP-1 Does to Your T Levels","The weight's coming off. But so is your testosterone. GLP-1 meds are incredible for dropping pounds.","10 Reasons Why This Natural Testosterone Support Supplement Crushes TRT – Mars Men","800f664d3e776da3c5180980cc42e36ba5e4c3192cffe8565ebe4f4bdbe57274","mars-men-static-canonical-recipes-share/assets/remote/1b56c8948bc9-media-240d57da4a2b.jpg","1080","1350","91-91","failed","Problem-Aware","Curiosity","Story","cold_acquisition","cost_savings","no_anchor","conversational_friend","The weight's coming off. But so is your testosterone. GLP-1 meds are incredible for dropping pounds.

Nobody's arguing that. But here's what your prescribing doctor probably didn't mention.

Rapid weight loss triggers a massive cortisol spike.

Cortisol tanks testosterone production at the source. Your body starts burning muscle for fuel instead of protecting it. Your energy craters. Your drive disappears. Your strength fades.

You're thinner — but weaker, foggier, and running on fumes. That's not a win.

Mars Men was built to protect what GLP-1s are quietly destroying.

Tongkat Ali blocks the cortisol spike that crashes your T during rapid weight loss.

Boron lowers SHBG so the testosterone you still have isn't locked up and useless. 8 clinically-dosed ingredients attacking the problem from every angle.

This isn't theory. 91% of men in a 1,000-person survey reported higher energy within 90 days. 87% reported increased strength. Results backed by bloodwork, not promises.

Right now it's 50% off with a full 90-day money-back guarantee.

Read the 10 reasons men on GLP-1s are adding this to their daily stack."
"C005","3","2","GLP","GLP / 10-reasons-glp","https://mengotomars.com/pages/10-reasons-glp","96362501","96362501, 94903835, 94903329","Keep Muscle + Metabolism on GLP-1s","GLP-1s suppress appetite so hard your body starts eating muscle for fuel not fat.","10 Reasons Why This Natural Testosterone Support Supplement Crushes TRT – Mars Men","4fd92e9dcc869f81eab44849677dae22b42a3ca0850a729e7eae11358678dda5","mars-men-static-canonical-recipes-share/assets/remote/7397c229937f-media-4fa25d623ba9.jpg","1080","1920","91-91","failed","Most-Aware","Curiosity","Story","cold_acquisition","cost_savings","no_anchor","conversational_friend","GLP-1s suppress appetite so hard your body starts eating muscle for fuel not fat.

Mars Men keeps muscle strong, metabolism firing, and T levels protected as fat drops. Natural, third-party tested, and safe no needles, no shutdown. 💪

Get your edge back while burning fat.

👉 50% OFF for a limited time."
"C006","2","1","GLP","GLP / 10-reasons-glp","https://mengotomars.com/pages/10-reasons-glp","94903621","94903621, 94903411","What GLP-1 Does to Your T Levels","The weight's coming off. But so is your testosterone. GLP-1 meds are incredible for dropping pounds.","10 Reasons Why This Natural Testosterone Support Supplement Crushes TRT – Mars Men","b2ce46c5e9a82c28bad64b0080fb50722e59104287bdfbfbc9ae91949d40afee","mars-men-static-canonical-recipes-share/assets/remote/9ab4883df561-media-0e324af298e4.jpg","1080","1350","91-91","failed","Problem-Aware","Curiosity","Story","cold_acquisition","cost_savings","no_anchor","conversational_friend","The weight's coming off. But so is your testosterone. GLP-1 meds are incredible for dropping pounds.

Nobody's arguing that. But here's what your prescribing doctor probably didn't mention.

Rapid weight loss triggers a massive cortisol spike.

Cortisol tanks testosterone production at the source. Your body starts burning muscle for fuel instead of protecting it. Your energy craters. Your drive disappears. Your strength fades.

You're thinner — but weaker, foggier, and running on fumes. That's not a win.

Mars Men was built to protect what GLP-1s are quietly destroying.

Tongkat Ali blocks the cortisol spike that crashes your T during rapid weight loss.

Boron lowers SHBG so the testosterone you still have isn't locked up and useless. 8 clinically-dosed ingredients attacking the problem from every angle.

This isn't theory. 91% of men in a 1,000-person survey reported higher energy within 90 days. 87% reported increased strength. Results backed by bloodwork, not promises.

Right now it's 50% off with a full 90-day money-back guarantee.

Read the 10 reasons men on GLP-1s are adding this to their daily stack."
"C007","2","1","GLP","GLP / 10-reasons-glp","https://mengotomars.com/pages/10-reasons-glp","96362512","96362512, 94903337","Keep Muscle + Metabolism on GLP-1s","GLP-1s suppress appetite so hard your body starts eating muscle for fuel not fat.","10 Reasons Why This Natural Testosterone Support Supplement Crushes TRT – Mars Men","8f5d831e67299d64fca8b22db05f1e0f237044879ac92f3bec62c01392b44cac","mars-men-static-canonical-recipes-share/assets/remote/6ef412352013-media-018cbc7056f4.jpg","1080","1350","91-91","failed","Most-Aware","Curiosity","Story","cold_acquisition","cost_savings","no_anchor","conversational_friend","GLP-1s suppress appetite so hard your body starts eating muscle for fuel not fat.

Mars Men keeps muscle strong, metabolism firing, and T levels protected as fat drops. Natural, third-party tested, and safe no needles, no shutdown. 💪

Get your edge back while burning fat.

👉 50% OFF for a limited time."
"C008","1","0","GLP","GLP / 10-reasons-glp","https://mengotomars.com/pages/10-reasons-glp","94903681","94903681","Keep Muscle + Metabolism on GLP-1s","GLP-1s suppress appetite so hard your body starts eating muscle for fuel not fat.","10 Reasons Why This Natural Testosterone Support Supplement Crushes TRT – Mars Men","9270ea507925d81a0370ac60254d47486612050af165fc81b1cf13f40241c5c9","mars-men-static-canonical-recipes-share/assets/remote/0de00a1de5b6-media-7235783988d2.jpg","1080","1350","91-91","failed","Most-Aware","Curiosity","Story","cold_acquisition","cost_savings","no_anchor","conversational_friend","GLP-1s suppress appetite so hard your body starts eating muscle for fuel not fat.

Mars Men keeps muscle strong, metabolism firing, and T levels protected as fat drops. Natural, third-party tested, and safe no needles, no shutdown. 💪

Get your edge back while burning fat.

👉 50% OFF for a limited time."
"C009","1","0","GLP","GLP / 10-reasons-glp","https://mengotomars.com/pages/10-reasons-glp","96362526","96362526","Keep Muscle + Metabolism on GLP-1s","GLP-1s suppress appetite so hard your body starts eating muscle for fuel not fat.","10 Reasons Why This Natural Testosterone Support Supplement Crushes TRT – Mars Men","7fbb027c0bfacc3f56de8b178ea6f0a07b30369663ca69756fffdd0d3c391fd7","mars-men-static-canonical-recipes-share/assets/remote/558c9dc8d87c-media-f6e795a77f80.jpg","1080","1350","91-91","failed","Most-Aware","Curiosity","Story","cold_acquisition","cost_savings","no_anchor","conversational_friend","GLP-1s suppress appetite so hard your body starts eating muscle for fuel not fat.

Mars Men keeps muscle strong, metabolism firing, and T levels protected as fat drops. Natural, third-party tested, and safe no needles, no shutdown. 💪

Get your edge back while burning fat.

👉 50% OFF for a limited time."
"C010","1","0","GLP","GLP / 10-reasons-glp","https://mengotomars.com/pages/10-reasons-glp","95129903","95129903","Keep Muscle + Metabolism on GLP-1s","GLP-1s suppress appetite so hard your body starts eating muscle for fuel not fat.","10 Reasons Why This Natural Testosterone Support Supplement Crushes TRT – Mars Men","89f6bd96d1dc039c75ad7a666799c340aef644d39932dbedab973a1872f66161","mars-men-static-canonical-recipes-share/assets/remote/25df8bfcaf02-media-2e268ac8fb46.jpg","1080","1350","91-91","failed","Most-Aware","Curiosity","Story","cold_acquisition","cost_savings","no_anchor","conversational_friend","GLP-1s suppress appetite so hard your body starts eating muscle for fuel not fat.

Mars Men keeps muscle strong, metabolism firing, and T levels protected as fat drops. Natural, third-party tested, and safe no needles, no shutdown. 💪

Get your edge back while burning fat.

👉 50% OFF for a limited time."
