copy_id,launch_slot,launch_kind,creative_ids,ad_instance_count,reference_urls,exact_landers,primary_ad_id,all_ad_ids,title,body,cta,link_description,first_line,share_urls,report_anchors
"COPY001","GLP lander","New lander","C001 | C002 | C004 | C006 | C011","22","https://mengotomars.com/pages/10-reasons-glp","GLP / 10-reasons-glp","94903611","94903611, 94903470, 94284844, 94284842, 94284666, 94284377, 94284350, 94903638, 94903621, 94903546, 94903493, 94284582, 94284507, 94284384, 94284378, 94284374, 94284291, 94903532, 94903411, 94903406, 95129975, 95129974","What GLP-1 Does to Your T Levels","The weight's coming off. But so is your testosterone. GLP-1 meds are incredible for dropping pounds.

Nobody's arguing that. But here's what your prescribing doctor probably didn't mention.

Rapid weight loss triggers a massive cortisol spike.

Cortisol tanks testosterone production at the source. Your body starts burning muscle for fuel instead of protecting it. Your energy craters. Your drive disappears. Your strength fades.

You're thinner — but weaker, foggier, and running on fumes. That's not a win.

Mars Men was built to protect what GLP-1s are quietly destroying.

Tongkat Ali blocks the cortisol spike that crashes your T during rapid weight loss.

Boron lowers SHBG so the testosterone you still have isn't locked up and useless. 8 clinically-dosed ingredients attacking the problem from every angle.

This isn't theory. 91% of men in a 1,000-person survey reported higher energy within 90 days. 87% reported increased strength. Results backed by bloodwork, not promises.

Right now it's 50% off with a full 90-day money-back guarantee.

Read the 10 reasons men on GLP-1s are adding this to their daily stack.","Shop now","Mars Men's clinical doses of Zinc (30mg) and Vitamin D (4,000 IU) signal your body to preserve lean mass while burning fat.3 4 You don't just get lighter. You get leaner.","The weight's coming off. But so is your testosterone. GLP-1 meds are incredible for dropping pounds.","https://app.gethookd.ai/share/ad/94903611?signature=019544b1009eb33802b00095993995fd168a33b6bd4cf2a1692c4fdcd779c7f1 | https://app.gethookd.ai/share/ad/94903470?signature=b22c6e387e5a809311d4189a3c9cb8e028fdc9aefeaa39b43b40cf2f705e350b | https://app.gethookd.ai/share/ad/94284844?signature=24c54e6cb67c54355d3b5b10e9a1da82bdb1593cf4ee389317fdea4c4c6a6031 | https://app.gethookd.ai/share/ad/94284842?signature=45f356fc0d13b4f995142078f4034193e08dfc6ad9eeaf6d0ab591fac4612bf8 | https://app.gethookd.ai/share/ad/94284666?signature=45f3dde9986db14b6b11ffd0ce78a1345a2c4a3bfa0af6925e50687ac00b8454 | https://app.gethookd.ai/share/ad/94284377?signature=e60d92c8195789c15ca93442b257ceeeb521a83e037e26f7efa9186a6c4c5350 | https://app.gethookd.ai/share/ad/94284350?signature=411ea13dd584209f4e5e536f535b1b1a7940c98870aedc12a043d8effb14183d | https://app.gethookd.ai/share/ad/94903638?signature=d3ca78e7e44dfb4b046ef1807c07e916badf38c7ae18641143d3e58f1205790c | https://app.gethookd.ai/share/ad/94903621?signature=59f5d8d9aa5154c4cb4440ebcd34b8a044e337f735ac8f6f00a765f47b178afb | https://app.gethookd.ai/share/ad/94903546?signature=f707b33a121abdf52315c97108c504d2f758b3ed72ceb9a4fd6d9d4baf4e2b35 | https://app.gethookd.ai/share/ad/94903493?signature=9dcc95aabf4d7c89cf04041889acdbeb2f3c159ea7063922a94e117d8b572916 | https://app.gethookd.ai/share/ad/94284582?signature=4a5fb4fe90373c09cc133ab0dbc536d3473c178bffb5fd86461232f5d847e435 | https://app.gethookd.ai/share/ad/94284507?signature=8cf7834bd425019093f75441959c7e1dcd0d59fb28f1bc76da8f7dc104bf1ba3 | https://app.gethookd.ai/share/ad/94284384?signature=5a4427e2de486495c218563ed1555a44c345d7d9f3899efc512ed9700d15f1aa | https://app.gethookd.ai/share/ad/94284378?signature=0751381e604418494b109f0e47a44b3d363c044871d25d92829e9b0b2822bc27 | https://app.gethookd.ai/share/ad/94284374?signature=b9e78a287af1702b628636a0e2a0175ea682251926bfbac98ed596fec7dfacb8 | https://app.gethookd.ai/share/ad/94284291?signature=45f5483a041a8b62fdbc61caca4c020dc35dcc0f3ce70b16e51361635160f714 | https://app.gethookd.ai/share/ad/94903532?signature=de52f7b8f168344e6d49e2e98e7389ba2cd2683fbf7333a377c35f7f22c888c8 | https://app.gethookd.ai/share/ad/94903411?signature=7cc5fe33dd1cec43b3ded8bc523fcd049409c0e72889f551ff5d30aaeb5a5934 | https://app.gethookd.ai/share/ad/94903406?signature=ecbe35d827d78da61591d413b2ee72ccd26eae90331869b79d3a30bd6da28293 | https://app.gethookd.ai/share/ad/95129975?signature=c7173a4b171bbdbb4f133618bbfbf2d2b6274ab9ef75701779c0304af9d1103a | https://app.gethookd.ai/share/ad/95129974?signature=8fa9f1fffd9d90808b937255a34f989035b4928b4cc70d5a529c6719532fff6a","mars-men-static-canonical-recipes-share/index.html#ad-94903611 | mars-men-static-canonical-recipes-share/index.html#ad-94903470 | mars-men-static-canonical-recipes-share/index.html#ad-94284844 | mars-men-static-canonical-recipes-share/index.html#ad-94284842 | mars-men-static-canonical-recipes-share/index.html#ad-94284666 | mars-men-static-canonical-recipes-share/index.html#ad-94284377 | mars-men-static-canonical-recipes-share/index.html#ad-94284350 | mars-men-static-canonical-recipes-share/index.html#ad-94903638 | mars-men-static-canonical-recipes-share/index.html#ad-94903621 | mars-men-static-canonical-recipes-share/index.html#ad-94903546 | mars-men-static-canonical-recipes-share/index.html#ad-94903493 | mars-men-static-canonical-recipes-share/index.html#ad-94284582 | mars-men-static-canonical-recipes-share/index.html#ad-94284507 | mars-men-static-canonical-recipes-share/index.html#ad-94284384 | mars-men-static-canonical-recipes-share/index.html#ad-94284378 | mars-men-static-canonical-recipes-share/index.html#ad-94284374 | mars-men-static-canonical-recipes-share/index.html#ad-94284291 | mars-men-static-canonical-recipes-share/index.html#ad-94903532 | mars-men-static-canonical-recipes-share/index.html#ad-94903411 | mars-men-static-canonical-recipes-share/index.html#ad-94903406 | mars-men-static-canonical-recipes-share/index.html#ad-95129975 | mars-men-static-canonical-recipes-share/index.html#ad-95129974"
"COPY002","GLP lander","New lander","C008 | C003 | C009 | C007 | C005 | C010 | C012","13","https://mengotomars.com/pages/10-reasons-glp","GLP / 10-reasons-glp","94903681","94903681, 94903631, 96362526, 96362512, 96362501, 95129903, 95129831, 94903835, 94903796, 94903342, 94903337, 94903329, 95129805","Keep Muscle + Metabolism on GLP-1s","GLP-1s suppress appetite so hard your body starts eating muscle for fuel not fat.

Mars Men keeps muscle strong, metabolism firing, and T levels protected as fat drops. Natural, third-party tested, and safe no needles, no shutdown. 💪

Get your edge back while burning fat.

👉 50% OFF for a limited time.","Shop now","✅ 100% Satisfaction Guaranteed","GLP-1s suppress appetite so hard your body starts eating muscle for fuel not fat.","https://app.gethookd.ai/share/ad/94903681?signature=c1e8524abde54275acf4326717f94eb0d6daf15eb68efc85c13a3d5a3eb41989 | https://app.gethookd.ai/share/ad/94903631?signature=56f10a4554293cf83911b3a14550a673aece176852abc3a9cb436a4fbacbab0c | https://app.gethookd.ai/share/ad/96362526?signature=9c357eaf984d5d32abc9749cf0a58d4852bc75bee0e82aaeb1de2f3987fdf2c7 | https://app.gethookd.ai/share/ad/96362512?signature=a0758f5221ba24296eed3935c2ec2b8baade89da7b3c39b97d1c6180ecf67f6f | https://app.gethookd.ai/share/ad/96362501?signature=c60603f42200e585a9d0f72a2d680edb138ae810d74fa2d280501312d51928eb | https://app.gethookd.ai/share/ad/95129903?signature=d144aa10d3b71a93fe65219a8d1356ca3b34f9840ae099ca14b28073d9f242c2 | https://app.gethookd.ai/share/ad/95129831?signature=4c4ed1535dc5cd07b1b4bb5c90919539ac71547cb91d350c49db5e9a53d45569 | https://app.gethookd.ai/share/ad/94903835?signature=3040ad57877b1467599f1bb3cbb93a493f33867b84410e519ffda109ddb86895 | https://app.gethookd.ai/share/ad/94903796?signature=2565a1ffdda05bb6827e255dec32804c8a2fbf86aa93c4427dcc55c57bb6d022 | https://app.gethookd.ai/share/ad/94903342?signature=a2fea2875abc3466baa650ea713cb545a3791300a5c145b5ca7bb230d11e0525 | https://app.gethookd.ai/share/ad/94903337?signature=426b0f23bf1b7c4a8c5d0d8e2dafe6e83b267ebf4f677d1485207773c76ad9fc | https://app.gethookd.ai/share/ad/94903329?signature=bc4cfc9ac9fa891329a29e9cb035702ad2facd5a7c2e88fe69d8509f6bcec34b | https://app.gethookd.ai/share/ad/95129805?signature=844d0202359d41c8327119427248aa96baea543ab993d1d2f872eb84963a7e21","mars-men-static-canonical-recipes-share/index.html#ad-94903681 | mars-men-static-canonical-recipes-share/index.html#ad-94903631 | mars-men-static-canonical-recipes-share/index.html#ad-96362526 | mars-men-static-canonical-recipes-share/index.html#ad-96362512 | mars-men-static-canonical-recipes-share/index.html#ad-96362501 | mars-men-static-canonical-recipes-share/index.html#ad-95129903 | mars-men-static-canonical-recipes-share/index.html#ad-95129831 | mars-men-static-canonical-recipes-share/index.html#ad-94903835 | mars-men-static-canonical-recipes-share/index.html#ad-94903796 | mars-men-static-canonical-recipes-share/index.html#ad-94903342 | mars-men-static-canonical-recipes-share/index.html#ad-94903337 | mars-men-static-canonical-recipes-share/index.html#ad-94903329 | mars-men-static-canonical-recipes-share/index.html#ad-95129805"
"COPY003","GLP lander","New lander","C013","1","https://mengotomars.com/pages/dr-latt-glp","GLP / dr-latt-glp","94903594","94903594","The GLP-1 Side Effect No One Mentions","What did they NOT tell you when they prescribed your GLP-1?

They told you about the nausea. The injection schedule. The dietary changes.

But nobody mentioned what's happening to your testosterone.

Here's the gap in your doctor's advice: GLP-1 medications trigger rapid weight loss. Great. But your body doesn't discriminate between fat and muscle when it's shedding weight that fast. You're losing lean tissue — the exact tissue responsible for keeping your metabolism firing and your T levels healthy.

Research now shows GLP-1 users face significantly higher risk of testosterone deficiency. So while the number on the scale drops, so does the hormone responsible for your energy, your strength, your drive, and your performance in every area that matters.

There's a reason you feel lighter but not better.

Dr. Latt Mansor knows this better than almost anyone. Oxford PhD. Columbia MS. He consults with Navy SEALs and Olympic athletes on performance optimization. And he has a specific recommendation for every man currently on a GLP-1.

It starts with eight ingredients most doctors have never heard of.

Boron to lower SHBG and free up locked testosterone. Tongkat Ali to block aromatase — the enzyme converting your T to estrogen. Fenugreek to protect against another conversion pathway. All at full clinical doses in one daily stack called Mars Men.

91% of men in a 1,000-person survey reported higher energy within 90 days. 87% reported increased strength.

Mars Men is currently 50% off with a full 90-day money-back guarantee.

Read Dr. Latt's 2-minute article on what GLP-1s are really doing to men's hormones — and the natural protocol he says every GLP-1 user needs.","See details","By Dr. Latt Mansor, PhD, M.S. | Physiology, Anatomy & Genetics, University of Oxford | Biotechnology, Columbia University","What did they NOT tell you when they prescribed your GLP-1?","https://app.gethookd.ai/share/ad/94903594?signature=1018806551da3d3e9b83a00f6b2afea67502f10d3acef62b45bc0fe47e79b702","mars-men-static-canonical-recipes-share/index.html#ad-94903594"
"COPY004","Weight-loss lander","New lander","C014","7","https://mengotomars.com/pages/t-upgrade-with-weight-loss","Weight loss / t-upgrade-with-weight-loss","94903501","94903501, 94284615, 94284474, 94284317, 94284609, 94284344, 94284343","Fix Your Hormones. Lose The Gut.","Summer is 8 weeks away. Your body isn't ready.

And here's the part no one tells you — the extra cardio won't fix it. The calorie cutting won't fix it. Not this time.

Because after 30, your body starts converting testosterone into estrogen. That's not a metaphor.

There's an enzyme called aromatase that literally takes the hormone that burns fat and builds muscle… and turns it into the hormone that stores belly fat and softens everything.

Your gut isn't a discipline problem. It's a hormone problem.

Every month you ignore it, the ratio shifts further. More estrogen. Less T. More fat stored around your chest and midsection. Less muscle holding on.

Mars Men was built to attack this at the root. Tongkat Ali blocks the aromatase enzyme so your T stops converting to estrogen.

Boron lowers SHBG so the testosterone you DO have actually gets used instead of locked up.

8 clinically-dosed ingredients. One daily stack.

91% of men reported higher energy within 90 days. 87% reported increased strength. These aren't lab rats — that's a survey of over 1,000 real customers.

Right now it's 50% off with a 90-day money-back guarantee. You literally risk nothing.","Shop now","Your ability to burn fat’s not broken – it's hormonally blocked.  Say goodbye to the stubborn belly fat, the afternoon energy crashes, and the frustration of diets that don't work. You deserve to look in the mirror and see the man you know you can be.","Summer is 8 weeks away. Your body isn't ready.","https://app.gethookd.ai/share/ad/94903501?signature=109d74fb01e90b222cad8d4f30e95c26d5f79760b6258e6b006e320b63cdf381 | https://app.gethookd.ai/share/ad/94284615?signature=da42d4cd70f5df15d51fb61bc666d90113b8aaf9d81da4fc18da20733ec1ad7e | https://app.gethookd.ai/share/ad/94284474?signature=6bf08f449e53c0d0b46f50787398d8f2b164b2c4b0aa50159a131750839be285 | https://app.gethookd.ai/share/ad/94284317?signature=94a884319f334c9ee424f03a73b7dc8aca5a414b2c3b25db69a87e2178ca1e03 | https://app.gethookd.ai/share/ad/94284609?signature=5594560cb6ad5473cd47e5d238cf2f5d598f36b6113ca714cf8bcf3c129f8454 | https://app.gethookd.ai/share/ad/94284344?signature=874f786f905d928af20404ee638eb5a2fae97bb0bf02b4e2204c953eb221a8fc | https://app.gethookd.ai/share/ad/94284343?signature=a5d915a241d3ab985829300840898620c29668ac6d3fa957e95f94d835baa819","mars-men-static-canonical-recipes-share/index.html#ad-94903501 | mars-men-static-canonical-recipes-share/index.html#ad-94284615 | mars-men-static-canonical-recipes-share/index.html#ad-94284474 | mars-men-static-canonical-recipes-share/index.html#ad-94284317 | mars-men-static-canonical-recipes-share/index.html#ad-94284609 | mars-men-static-canonical-recipes-share/index.html#ad-94284344 | mars-men-static-canonical-recipes-share/index.html#ad-94284343"
"COPY005","Weight-loss lander","New lander","C015","7","https://mengotomars.com/pages/t-upgrade-with-weight-loss","Weight loss / t-upgrade-with-weight-loss","94284772","94284772, 94284449, 94284316, 94284531, 94284495, 94284360, 94284315","Fix Your Hormones. Lose The Moobs.","Summer's 90 days away. Your hormones don't care.

Right now, your body is running a 24/7 sabotage operation on your physique. Elevated cortisol is telling your body to store fat — especially around your midsection. An enzyme called aromatase is converting your testosterone into estrogen. And a protein called SHBG is locking up whatever T you have left so your muscles can't even use it.

Three systems working against you. Crunches won't fix that. Neither will another crash diet.

Mars Men was built to attack all three.

Tongkat Ali blocks the enzyme converting your T to estrogen and drives cortisol down.

Boron lowers SHBG so your body can actually USE the testosterone it makes.

8 clinically-dosed ingredients total — each targeting a different piece of the hormonal puzzle.

87% of men in a 1,000-person survey reported increased strength. One customer at 62 says he's stronger now than in his 20s and 30s.

Right now it's 50% off for life — plus free shipping, a free Natural Testosterone Guide, and a free travel tin. Backed by a 90-day Higher-T Guarantee.

Every week you wait, your body stores more fat and burns less muscle. That's not aging — that's hormones.","Shop now","Your ability to burn fat’s not broken – it's hormonally blocked.  Say goodbye to the stubborn belly fat, the afternoon energy crashes, and the frustration of diets that don't work. You deserve to look in the mirror and see the man you know you can be.","Summer's 90 days away. Your hormones don't care.","https://app.gethookd.ai/share/ad/94284772?signature=ee2e1236537be6c907a04934cbb86c96f8d9c2d9b7dd8701ee3ab6ed0c641814 | https://app.gethookd.ai/share/ad/94284449?signature=dacca5d9e947d7e5c690437ca550c77af80f7c969441d798a21349d0573fa96c | https://app.gethookd.ai/share/ad/94284316?signature=0eb1fb0b0071d2b0409efa661c31d33c8e0b262b7f97e235dbfb88d741239390 | https://app.gethookd.ai/share/ad/94284531?signature=3b931314db151fcc2e5adface65a94c64844921487a7c283f240b0e3c09c6125 | https://app.gethookd.ai/share/ad/94284495?signature=a63ab8652a07165538e2ae3f2f62ae0fd88b00a85dbf7333386fd9218bf4fb3e | https://app.gethookd.ai/share/ad/94284360?signature=bbf35d2724d650dc270c0dea4f3d67d39336d1d697511334d9fc3a0f7d4069e3 | https://app.gethookd.ai/share/ad/94284315?signature=df40476196eca51cf5d344765f179cf48c32099c58e78a5effab8ff6552a5497","mars-men-static-canonical-recipes-share/index.html#ad-94284772 | mars-men-static-canonical-recipes-share/index.html#ad-94284449 | mars-men-static-canonical-recipes-share/index.html#ad-94284316 | mars-men-static-canonical-recipes-share/index.html#ad-94284531 | mars-men-static-canonical-recipes-share/index.html#ad-94284495 | mars-men-static-canonical-recipes-share/index.html#ad-94284360 | mars-men-static-canonical-recipes-share/index.html#ad-94284315"
"COPY006","TRT lander / TRT alternative references","New lander","C026","8","https://mengotomars.com/pages/t-upgrade","TRT upgrade / t-upgrade","94903427","94903427, 94284766, 94284508, 94284307, 94903439, 94284375, 94284337, 95130018","See What's Actually Inside","Most testosterone supplements are hiding something behind their ""proprietary blend"" label.

Here's what they don't want you to see.

You're swallowing 2-3 underdosed ingredients buried in fillers — and wondering why nothing changes. Your T keeps dropping. Your energy keeps tanking. And every month you wait, those three thieves — SHBG, aromatase, and cortisol — steal more of what you have left.

Mars Men shows you exactly what's inside. 8 ingredients. Full clinical doses. No proprietary blend. No mystery powder.

Tongkat Ali at 1,000mg blocks the enzyme converting your T to estrogen. Boron at 4mg lowers SHBG so your body can actually USE the testosterone it makes.

91% of men surveyed reported higher energy within 90 days. Not from stimulants. From actually addressing the hormone problem.

Right now it's 50% off with a 90-day money-back guarantee.

See how 8 ingredients work across 3 levels to unblock your testosterone — and why most formulas only target one.","Shop now","Your T’s not broken - it’s blocked. Say goodbye to the afternoon crashes, the soft midsection, and the brain fog. You deserve to feel like yourself again.","Most testosterone supplements are hiding something behind their ""proprietary blend"" label.","https://app.gethookd.ai/share/ad/94903427?signature=c83ed0fa171f705f6a959f5c4224ca6568cc10a5909782ffca6f4c2f981fdf27 | https://app.gethookd.ai/share/ad/94284766?signature=cacfce725d803af8e4c3631a8d9e259892b925f6610b12590c8bcfb21a82e485 | https://app.gethookd.ai/share/ad/94284508?signature=8f5fe7fd3d62dee2d2d903581ef8a40f54f40e7ae09f2bc64ae90266587474ca | https://app.gethookd.ai/share/ad/94284307?signature=493a7762d388fed592fe48a093a97690cb9a57c6a2d72e1b773f0c5109f365a0 | https://app.gethookd.ai/share/ad/94903439?signature=25bbed89c56dcf713ec385e769b31b821c78c3a0cd4047c0e5ada4609a8b5737 | https://app.gethookd.ai/share/ad/94284375?signature=1b9f1fab975c6e043e8094a11729b4084b2e8b8eb181bbace9821ca566fdad56 | https://app.gethookd.ai/share/ad/94284337?signature=967a50dc3307585b0ff4c5ffa9bd87b89c2fcf741ae5f668869a32d769e75a58 | https://app.gethookd.ai/share/ad/95130018?signature=7ffff071ff81aa55c6f9c474ee8fde60bb16bc645f4807ba1816489b1c040eac","mars-men-static-canonical-recipes-share/index.html#ad-94903427 | mars-men-static-canonical-recipes-share/index.html#ad-94284766 | mars-men-static-canonical-recipes-share/index.html#ad-94284508 | mars-men-static-canonical-recipes-share/index.html#ad-94284307 | mars-men-static-canonical-recipes-share/index.html#ad-94903439 | mars-men-static-canonical-recipes-share/index.html#ad-94284375 | mars-men-static-canonical-recipes-share/index.html#ad-94284337 | mars-men-static-canonical-recipes-share/index.html#ad-95130018"
"COPY007","TRT lander / TRT alternative references","New lander","C027","8","https://mengotomars.com/pages/t-upgrade","TRT upgrade / t-upgrade","94903380","94903380, 94284408, 94284372, 94284347, 94284485, 94284409, 94284293, 95129952","Crush Cortisol. Reclaim Your T.","Your stress hormone is eating your testosterone alive.

Not next year. Not ""eventually."" Right now — while you're scrolling.

Every time your stress spikes — the bad sleep, the work pressure, the packed schedule — your body floods with cortisol. And cortisol doesn't just make you feel wired and tired.

It actively shuts down testosterone production at the source.

Think of it as a thief running a 24/7 heist on your T. The more stressed you are, the less testosterone your body makes. Less energy. Less drive. Less muscle. Less of everything that makes you feel like you.

And here's the brutal part: it compounds. Every month you don't address it, your levels drop further.

Mars Men was built to crush cortisol while supporting healthy testosterone levels — the only formula designed to do both.

Tongkat Ali at a full 1,000mg clinical dose drives cortisol down and blocks the enzyme that converts your T to estrogen. Boron lowers SHBG so your body can actually use the testosterone it makes.

Eight ingredients. Three levels of attack.

91% of men reported higher energy within 90 days in a survey of 1,000 customers.

50% off right now with free shipping, a free T guide, and a 90-day money-back guarantee.

See the full 4-level system that attacks all three testosterone thieves at once.","Shop now","Your T’s not broken - it’s blocked. Say goodbye to the afternoon crashes, the soft midsection, and the brain fog. You deserve to feel like yourself again.","Your stress hormone is eating your testosterone alive.","https://app.gethookd.ai/share/ad/94903380?signature=5cbe7652c0176ff9e96b0dd11acf1f8b0a7e6f5283603470e8de26aeb5010af8 | https://app.gethookd.ai/share/ad/94284408?signature=827868f4eff50240a9183a0ebd8c9f42fa13ffa323fed443429112e328575943 | https://app.gethookd.ai/share/ad/94284372?signature=f461647f1119b6330d17da89fe35d03a4bf87c6fce0e5ed7d029b5a1ee4ae339 | https://app.gethookd.ai/share/ad/94284347?signature=7c76072ef8b32b3c7ffdfefb4582cccbf2ff15308c0e4a85c6c16df605aeeb54 | https://app.gethookd.ai/share/ad/94284485?signature=f06e4784a9ca22e1699bc3faccad49b4d7d983969ea39d8ec2604666f055cd52 | https://app.gethookd.ai/share/ad/94284409?signature=70e55af55514fae20bdd84d88f696547e8463b038b6fca2376c611fac33ffb84 | https://app.gethookd.ai/share/ad/94284293?signature=59eecb489b2cfef8541a9c752d4ea92fd279a37a848c4569b06279b0c59dcfd8 | https://app.gethookd.ai/share/ad/95129952?signature=d522c2d35aa36c9954bc79f8a7ef834e86911fe0360bf33189a119d46c40efd2","mars-men-static-canonical-recipes-share/index.html#ad-94903380 | mars-men-static-canonical-recipes-share/index.html#ad-94284408 | mars-men-static-canonical-recipes-share/index.html#ad-94284372 | mars-men-static-canonical-recipes-share/index.html#ad-94284347 | mars-men-static-canonical-recipes-share/index.html#ad-94284485 | mars-men-static-canonical-recipes-share/index.html#ad-94284409 | mars-men-static-canonical-recipes-share/index.html#ad-94284293 | mars-men-static-canonical-recipes-share/index.html#ad-95129952"
"COPY008","TRT lander / TRT alternative references","New lander","C029","5","https://mengotomars.com/pages/10-reasons","TRT alternative / 10-reasons","94284974","94284974, 94903597, 94903517, 94284523, 94284448","Try It or Stay Stuck.","Two options. Pick one.
❌ Keep feeling tired, unmotivated, and running on caffeine
✅ Try Mars Men risk-free for 90 days and see what changes

8 natural ingredients. Clinical doses. No artificial anything. Tongkat Ali, Shilajit, Boron, Zinc + more.

If it doesn't work — full refund. If it does — night and day difference.

See why men are calling this their T-upgrade.

50% off for life + free shipping + free gifts.","Shop now","Most men wait for ""the right time"" (New Year's, “before summer”, after the holidays.) Meanwhile, the men who actually transform just start. Starting today means you're not wasting another week pretending you'll do it later. In 90 days, you'll either be optimized—or you'll still be waiting for ...","Two options. Pick one.","https://app.gethookd.ai/share/ad/94284974?signature=a2a9c875b79e0d1bd9d4c6773e385a81eeeb24b899b319734eeba4caf699408f | https://app.gethookd.ai/share/ad/94903597?signature=7c653717c57c6a2c1ed2a7d1131406d9f2d22cd03a501cd35d0052a7493901e6 | https://app.gethookd.ai/share/ad/94903517?signature=5f7fcbe794b118108019bca46ed6ab6d0b6ceb77dac8d54228facdaa3252d783 | https://app.gethookd.ai/share/ad/94284523?signature=67ffe8b7213587cb46db4a953e3fb2e58ba5f8107070cada35f82647dc72d45c | https://app.gethookd.ai/share/ad/94284448?signature=32c2308a91048d07eeb9a96b6ac54552418a13748b95dd78db3f7d3252b0f0f6","mars-men-static-canonical-recipes-share/index.html#ad-94284974 | mars-men-static-canonical-recipes-share/index.html#ad-94903597 | mars-men-static-canonical-recipes-share/index.html#ad-94903517 | mars-men-static-canonical-recipes-share/index.html#ad-94284523 | mars-men-static-canonical-recipes-share/index.html#ad-94284448"
"COPY009","TRT lander / TRT alternative references","New lander","C030","2","https://mengotomars.com/pages/10-reasons","TRT alternative / 10-reasons","94903536","94903536, 94284742","New Year Sale: Save 50% Off + Free Gifts","Give yourself a head start toward better energy, focus, and burning stubborn belly fat.

January 1st.

Everyone's making promises.

""I'm gonna lose 20 pounds.""

""I'm gonna get stronger.""

""I'm gonna feel like myself again.""

By March, most of them quit.

But not you.

Because while they're relying on motivation and willpower...

You're running a SYSTEM.

Mars Men isn't a resolution.

It's the biological foundation that makes resolutions actually WORK.

8 science-backed ingredients working together to support your testosterone production.

So when you commit to change, your BODY commits with you.

Your energy doesn't fade by Week 3.

Your strength doesn't plateau by Week 6.

Your progress doesn't stall by Week 12.

Instead...

By April, people are asking what you're doing differently.

By July, your wife can't keep her hands off you.

By December, you're the guy everyone else wishes they'd become.

Don't make another empty promise this New Year.

Build the biological foundation for REAL transformation.

And lock it in at 50% OFF during our New Year Sale.

This is our biggest discount of the year...

Plus FREE gifts when you stock up.

Set yourself up for success NOW while you can save.

👉 Start 2026 right - Get 50% off Mars Men + FREE gifts (New Year Sale)","Shop now","Starting your day with testosterone support means you're setting your body up for better workouts, faster recovery, and better muscle growth. The combination of ingredients works together to support the kind of body changes that actually matter.*","Give yourself a head start toward better energy, focus, and burning stubborn belly fat.","https://app.gethookd.ai/share/ad/94903536?signature=1e403822d53ded8130a2302f0b3d060a23901d0a69c4695a8bde59c0c52c1a4f | https://app.gethookd.ai/share/ad/94284742?signature=6d42e395558a45c08d728bdd12fe230ceb0629153afb6a7f0b88bd4a04cf9398","mars-men-static-canonical-recipes-share/index.html#ad-94903536 | mars-men-static-canonical-recipes-share/index.html#ad-94284742"
"COPY010","TRT lander / TRT alternative references","New lander","C028","2","https://mengotomars.com/pages/t-upgrade","TRT upgrade / t-upgrade","94903543","94903543, 94903448","Don't Ignore Your Testosterone.","Taking care of one thing? Good. Don't ignore the other. 💡

Your testosterone needs support too. After 30, T drops every year — and your energy, drive, and strength go with it.

Mars Men: 8 natural ingredients at clinical doses supporting testosterone production.

⚡ More energy
💪 More strength
🧠 More clarity

See the signs your T might be crashing — and what to do about it.

✅ 90-day guarantee
✅ 50% off + free shipping + free gifts","Shop now","Your T’s not broken - it’s blocked. Say goodbye to the afternoon crashes, the soft midsection, and the brain fog. You deserve to feel like yourself again.","Taking care of one thing? Good. Don't ignore the other. 💡","https://app.gethookd.ai/share/ad/94903543?signature=03c311f00e5f1a49f51f62a2003d11361b33275cb9f2544f9332e16314acf7c6 | https://app.gethookd.ai/share/ad/94903448?signature=db12c10bd6943f8bb5113e1d1a3f62932c46238854c4cfd0e453a78143eadabb","mars-men-static-canonical-recipes-share/index.html#ad-94903543 | mars-men-static-canonical-recipes-share/index.html#ad-94903448"
