"ad_id","stage","headline","destination_token","destination_key","final_url","asset_id","public_id","local_image_path"
"AV-A1","advertorial","Normal Isn't Optimal (19 chars)","{{ADVERTORIAL_VARIANT_A_URL_PENDING}}","advertorial_a","https://shoptenorco.com/8b89a76d/daily-drive-essentials/your-labs-are-normal-the-30-000-lie-doctors-tell-men-over-40-and-how-to-avoid-the-trap/","","",""
"AV-A2","advertorial","The 700-Point Spread (22 chars)","{{ADVERTORIAL_VARIANT_A_URL_PENDING}}","advertorial_a","https://shoptenorco.com/8b89a76d/daily-drive-essentials/your-labs-are-normal-the-30-000-lie-doctors-tell-men-over-40-and-how-to-avoid-the-trap/","","",""
"AV-A3","advertorial","The Missing Pathway (19 chars)","{{ADVERTORIAL_VARIANT_A_URL_PENDING}}","advertorial_a","https://shoptenorco.com/8b89a76d/daily-drive-essentials/your-labs-are-normal-the-30-000-lie-doctors-tell-men-over-40-and-how-to-avoid-the-trap/","","",""
"AV-A4","advertorial","5 Signs It's Not Just Age (26 chars)","{{ADVERTORIAL_VARIANT_A_URL_PENDING}}","advertorial_a","https://shoptenorco.com/8b89a76d/daily-drive-essentials/your-labs-are-normal-the-30-000-lie-doctors-tell-men-over-40-and-how-to-avoid-the-trap/","","",""
"AV-B1","advertorial","Two Pathways They Missed (25 chars)","{{ADVERTORIAL_VARIANT_B_URL_PENDING}}","advertorial_b","https://shoptenorco.com/8b89a76d/daily-drive-essentials/the-two-pathways-every-t-booster-ignores-and-why-thats-why-you-still-dont-feel-like-yourself/","","",""
"AV-B2","advertorial","It's Not Just Production (23 chars)","{{ADVERTORIAL_VARIANT_B_URL_PENDING}}","advertorial_b","https://shoptenorco.com/8b89a76d/daily-drive-essentials/the-two-pathways-every-t-booster-ignores-and-why-thats-why-you-still-dont-feel-like-yourself/","","",""
"AV-B3","advertorial","Half the Science (16 chars)","{{ADVERTORIAL_VARIANT_B_URL_PENDING}}","advertorial_b","https://shoptenorco.com/8b89a76d/daily-drive-essentials/the-two-pathways-every-t-booster-ignores-and-why-thats-why-you-still-dont-feel-like-yourself/","","",""
"AV-B4","advertorial","More T Was Never Enough (24 chars)","{{ADVERTORIAL_VARIANT_B_URL_PENDING}}","advertorial_b","https://shoptenorco.com/8b89a76d/daily-drive-essentials/the-two-pathways-every-t-booster-ignores-and-why-thats-why-you-still-dont-feel-like-yourself/","","",""
"AV-C1","advertorial","Before You Start TRT (21 chars)","{{ADVERTORIAL_VARIANT_C_URL_PENDING}}","advertorial_c","https://shoptenorco.com/8b89a76d/daily-drive-essentials/needles-for-life-the-30-000-trt-trap-and-the-daily-protocol-you-try-first/","","",""
"AV-C2","advertorial","The Third Option (16 chars)","{{ADVERTORIAL_VARIANT_C_URL_PENDING}}","advertorial_c","https://shoptenorco.com/8b89a76d/daily-drive-essentials/needles-for-life-the-30-000-trt-trap-and-the-daily-protocol-you-try-first/","","",""
"AV-C3","advertorial","3 Steps, Not 1 (15 chars)","{{ADVERTORIAL_VARIANT_C_URL_PENDING}}","advertorial_c","https://shoptenorco.com/8b89a76d/daily-drive-essentials/needles-for-life-the-30-000-trt-trap-and-the-daily-protocol-you-try-first/","","",""
"AV-C4","advertorial","Three Systems, One Protocol (28 chars)","{{ADVERTORIAL_VARIANT_C_URL_PENDING}}","advertorial_c","https://shoptenorco.com/8b89a76d/daily-drive-essentials/needles-for-life-the-30-000-trt-trap-and-the-daily-protocol-you-try-first/","","",""
"L1","listicle","Stop Boosting. Start Supporting. (30 chars)","{{LISTICLE_B_URL_PENDING}}","listicle_b","https://shoptenorco.com/8b89a76d/daily-drive-essentials/everything-youve-been-told-about-testosterone-support-is-based-on-half-the-science/","","",""
