adId,stage,hookType,headline,primaryText,format,sourceDestination,destinationKey,destinationToken,finalUrl,rationale
"AV-A1","advertorial","Contrarian","Normal Isn't Optimal (19 chars)","""Your labs are normal"" is the most expensive sentence a man over 40 will hear. Normal range spans 300 to 1,000 ng/dL. You can lose 66% of your testosterone and still be ""in range."" The test wasn't designed to detect your decline. Here's what was. [Link]","Single image — man in his 40s, domestic setting, natural light","advertorial-variant-a.md","advertorial_a","{{ADVERTORIAL_VARIANT_A_URL_PENDING}}","https://shoptenorco.com/8b89a76d/daily-drive-essentials/your-labs-are-normal-the-30-000-lie-doctors-tell-men-over-40-and-how-to-avoid-the-trap/","Meta ads file maps this ad to advertorial variant A."
"AV-A2","advertorial","Curiosity","The 700-Point Spread (22 chars)","300 to 1,000. That's the testosterone reference range — a 700-point spread. You can lose two-thirds of your T and still be told your labs are ""normal."" Here's what the reference range doesn't tell you — and what actually matters. [Link]","Single image — lab report visual","advertorial-variant-a.md","advertorial_a","{{ADVERTORIAL_VARIANT_A_URL_PENDING}}","https://shoptenorco.com/8b89a76d/daily-drive-essentials/your-labs-are-normal-the-30-000-lie-doctors-tell-men-over-40-and-how-to-avoid-the-trap/","Meta ads file maps this ad to advertorial variant A."
"AV-A3","advertorial","Curiosity","The Missing Pathway (19 chars)","Why do some men with ""normal"" testosterone still feel drained, unfocused, and unlike themselves? Because testosterone that can't circulate is testosterone that can't work. The missing piece isn't more production — it's the nitric oxide pathway most supplements never address. Here's why it matters. [Link]","Single image — anatomical diagram style, circulation pathways","advertorial-variant-a.md","advertorial_a","{{ADVERTORIAL_VARIANT_A_URL_PENDING}}","https://shoptenorco.com/8b89a76d/daily-drive-essentials/your-labs-are-normal-the-30-000-lie-doctors-tell-men-over-40-and-how-to-avoid-the-trap/","Meta ads file maps this ad to advertorial variant A."
"AV-A4","advertorial","Fear","5 Signs It's Not Just Age (26 chars)","5 signs your daily fatigue isn't ""just aging"" — and what your doctor's lab report isn't designed to tell you. 1) Energy crashes by 2pm daily. 2) Motivation requires active effort. 3) Focus slips mid-conversation. 4) Recovery takes longer. 5) You've normalized feeling diminished. These have a biological cause. [Link]","Carousel — 5 cards, one sign per card, CTA on card 5","advertorial-variant-a.md","advertorial_a","{{ADVERTORIAL_VARIANT_A_URL_PENDING}}","https://shoptenorco.com/8b89a76d/daily-drive-essentials/your-labs-are-normal-the-30-000-lie-doctors-tell-men-over-40-and-how-to-avoid-the-trap/","Meta ads file maps this ad to advertorial variant A."
"AV-B1","advertorial","Curiosity","Two Pathways They Missed (25 chars)","The Two Pathways Every T-Booster Ignores — And Why That's Why You Still Don't Feel Like Yourself. Most supplements target only testosterone production. They miss the other two systems that determine whether you actually feel the difference. Here's what was missing. [Link]","Single image — three-pathway diagram","advertorial-variant-b.md","advertorial_b","{{ADVERTORIAL_VARIANT_B_URL_PENDING}}","https://shoptenorco.com/8b89a76d/daily-drive-essentials/the-two-pathways-every-t-booster-ignores-and-why-thats-why-you-still-dont-feel-like-yourself/","Meta ads file maps this ad to advertorial variant B."
"AV-B2","advertorial","Curiosity","It's Not Just Production (23 chars)","What if testosterone production is only 1/3 of the problem? Your body has to produce it, circulate it, AND protect it from stress depletion. Most T-boosters address Step 1 and stop. Here's what the other 2/3 requires — and why you've never heard this from a supplement company. [Link]","Single image — three interlocking gears visual","advertorial-variant-b.md","advertorial_b","{{ADVERTORIAL_VARIANT_B_URL_PENDING}}","https://shoptenorco.com/8b89a76d/daily-drive-essentials/the-two-pathways-every-t-booster-ignores-and-why-thats-why-you-still-dont-feel-like-yourself/","Meta ads file maps this ad to advertorial variant B."
"AV-B3","advertorial","Contrarian","Half the Science (16 chars)","Everything you've been told about testosterone support is based on half the science. The research is clear: production, circulation, and stress response all have to work together. Addressing one while ignoring the other two is why your last T-booster did nothing. Here's the full picture. [Link]","Single image — torn paper revealing full diagram underneath","advertorial-variant-b.md","advertorial_b","{{ADVERTORIAL_VARIANT_B_URL_PENDING}}","https://shoptenorco.com/8b89a76d/daily-drive-essentials/the-two-pathways-every-t-booster-ignores-and-why-thats-why-you-still-dont-feel-like-yourself/","Meta ads file maps this ad to advertorial variant B."
"AV-B4","advertorial","Contrarian","More T Was Never Enough (24 chars)","""More testosterone"" was never the full answer. You can produce all the T in the world — if it can't circulate and your stress burns through it before it accumulates, you'll never feel the difference. That's why single-axis T-boosters fail. That's why this protocol supports all three pathways. That's the difference. [Link]","Single image — bold typography, Ink on Bone","advertorial-variant-b.md","advertorial_b","{{ADVERTORIAL_VARIANT_B_URL_PENDING}}","https://shoptenorco.com/8b89a76d/daily-drive-essentials/the-two-pathways-every-t-booster-ignores-and-why-thats-why-you-still-dont-feel-like-yourself/","Meta ads file maps this ad to advertorial variant B."
"AV-C1","advertorial","Fear","Before You Start TRT (21 chars)","Needles for life. Weekly injections. Blood work every 3 months. And once you start TRT, your body's own production can shut down — potentially for good. Before you sign up for a lifetime of medical dependency, read this. There's a third option. [Link]","Single image — stark medical imagery contrasted with 2 capsules","advertorial-variant-c.md","advertorial_c","{{ADVERTORIAL_VARIANT_C_URL_PENDING}}","https://shoptenorco.com/8b89a76d/daily-drive-essentials/needles-for-life-the-30-000-trt-trap-and-the-daily-protocol-you-try-first/","Meta ads file maps this ad to advertorial variant C."
"AV-C2","advertorial","Fear","The Third Option (16 chars)","Before you sign up for a lifetime of needles, prescriptions, and blood work — try the protocol 1,203 men used before deciding they needed TRT. 90 days. Full refund if it doesn't work. Return even the empty bottles. You owe yourself the third option between gas station pills and permanent medical intervention. [Link]","Video — 15s, split screen: medical imagery → 2 capsules, morning light","advertorial-variant-c.md","advertorial_c","{{ADVERTORIAL_VARIANT_C_URL_PENDING}}","https://shoptenorco.com/8b89a76d/daily-drive-essentials/needles-for-life-the-30-000-trt-trap-and-the-daily-protocol-you-try-first/","Meta ads file maps this ad to advertorial variant C."
"AV-C3","advertorial","Contrarian","3 Steps, Not 1 (15 chars)","Your body can make enough testosterone and you can still feel nothing. Here's why: production is only Step 1. Circulation (nitric oxide) is Step 2. Stress protection (cortisol modulation) is Step 3. Most supplements stop at Step 1. Tenor addresses all three. Your last T-booster didn't fail — it was incomplete. [Link]","Carousel — 3 cards showing each step, CTA on card 3","advertorial-variant-c.md","advertorial_c","{{ADVERTORIAL_VARIANT_C_URL_PENDING}}","https://shoptenorco.com/8b89a76d/daily-drive-essentials/needles-for-life-the-30-000-trt-trap-and-the-daily-protocol-you-try-first/","Meta ads file maps this ad to advertorial variant C."
"AV-C4","advertorial","Curiosity","Three Systems, One Protocol (28 chars)","Three biological systems have to work together for you to feel the difference. Leydig cell function (production). Nitric oxide circulation (delivery). Stress response modulation (preservation). Most supplements hit one. Tenor supports all three with 21 disclosed ingredients. Here's how the architecture works. [Link]","Single image — three-pillar diagram, clean scientific illustration","advertorial-variant-c.md","advertorial_c","{{ADVERTORIAL_VARIANT_C_URL_PENDING}}","https://shoptenorco.com/8b89a76d/daily-drive-essentials/needles-for-life-the-30-000-trt-trap-and-the-daily-protocol-you-try-first/","Meta ads file maps this ad to advertorial variant C."
"L1","listicle","Contrarian","Stop Boosting. Start Supporting. (30 chars)","Stop trying to ""boost your testosterone."" That approach has failed you three times already — and it's not your fault. The problem isn't production. It's the two other systems most supplements completely ignore. 3 reasons your T-booster didn't work. [Link]","Carousel — 3 cards (3 failed approaches → 3 pathways)","","listicle_b","{{LISTICLE_B_URL_PENDING}}","https://shoptenorco.com/8b89a76d/daily-drive-essentials/everything-youve-been-told-about-testosterone-support-is-based-on-half-the-science/","Listicle B is the mechanism/contrarian variant; this ad emphasizes incomplete science, pathways, or protocol architecture."
"L2","listicle","Fear","What Your Label Hid (20 chars)","The 3 words on your supplement label that told you everything: ""Proprietary Blend."" It means they can put 10mg of each active ingredient inside 1,500mg of filler, and you'd never know. You didn't fail those supplements. They failed you — by design. Here's what transparency actually looks like. [Link]","Single image — supplement label with ""Proprietary Blend"" circled in red","","listicle_a","{{LISTICLE_A_URL_PENDING}}","https://shoptenorco.com/8b89a76d/daily-drive-essentials/3-reasons-your-t-booster-failed-and-none-of-them-are-your-fault/","Listicle A is the past-failure/proprietary-blend variant; this ad emphasizes failed boosters or hidden-label risk."
"L3","listicle","Desire","Feel Like Yourself Again (24 chars)","Wake up with energy that lasts past 2pm. Feel sharp in conversations without reaching for the next thought. Experience the version of yourself your wife and kids remember — not 25 again, not superhuman, just you. 94% of 1,203 men reported sustained morning energy. Here's the protocol. [Link]","Video — man in morning routine, kitchen, natural light","","listicle_c","{{LISTICLE_C_URL_PENDING}}","https://shoptenorco.com/8b89a76d/daily-drive-essentials/94-more-morning-energy-92-more-like-yourself-the-21-ingredient-protocol-delivering-what-t-boosters-only-promised/","Listicle C is the desire/stat-forward variant; this ad emphasizes desired outcome, survey result, guarantee, or testimonial proof."
