groupKey,sourceType,destinationKey,sourceCopyId,title,sourceTitle,currentAdsets,currentAdsetCount,recommendedConcept,recommendedAdset,visualReason,liveAdIds
curated-01-glp,standard_curated,glp,,What GLP-1 Does to Your Drive,Static #3.png,Concept 1 - GLP Hidden Drive Drain | Concept 4 - Quiz Daily Decline / System Problem,2,C3,Concept 3 - GLP Doctor-Missed Side Effect,"GLP visual uses doctor, medical, research, warning, article, or side-effect framing as the dominant hook.",120245565679490293 | 120245548706910293
curated-02-glp,standard_curated,glp,,Keep Your Drive Steady on GLP-1s,7.png,Concept 2 - GLP Muscle + Metabolism Protection | Concept 5 - Quiz Offer / Proof / Guarantee,2,C1,Concept 1 - GLP Hidden Drive Drain,"GLP visual is about drive/energy/fatigue drain after GLP-1 weight loss, without a primary doctor/research frame.",120245565675360293 | 120245548693620293
curated-03-glp,standard_curated,glp,,The GLP-1 Side Effect No One Mentions,derm_fag.jpg,Concept 1 - GLP Hidden Drive Drain | Concept 3 - GLP Doctor-Missed Side Effect,2,C1,Concept 1 - GLP Hidden Drive Drain,"GLP visual is about drive/energy/fatigue drain after GLP-1 weight loss, without a primary doctor/research frame.",120245565668440293 | 120245548680800293
curated-04-glp,standard_curated,glp,,What GLP-1 Does to Your Drive,spanish_doctor_cta.jpg,Concept 1 - GLP Hidden Drive Drain | Concept 2 - GLP Muscle + Metabolism Protection,2,C3,Concept 3 - GLP Doctor-Missed Side Effect,"GLP visual uses doctor, medical, research, warning, article, or side-effect framing as the dominant hook.",120245565660530293 | 120245548668860293
curated-05-glp,standard_curated,glp,,Keep Your Drive Steady on GLP-1s,6.png,Concept 2 - GLP Muscle + Metabolism Protection | Concept 3 - GLP Doctor-Missed Side Effect,2,C1,Concept 1 - GLP Hidden Drive Drain,"GLP visual is about drive/energy/fatigue drain after GLP-1 weight loss, without a primary doctor/research frame.",120245565654400293 | 120245548657980293
curated-06-glp,standard_curated,glp,,The GLP-1 Side Effect No One Mentions,fatigue.jpg,Concept 3 - GLP Doctor-Missed Side Effect | Concept 4 - Quiz Daily Decline / System Problem,2,C1,Concept 1 - GLP Hidden Drive Drain,"GLP visual is about drive/energy/fatigue drain after GLP-1 weight loss, without a primary doctor/research frame.",120245565647410293 | 120245548651590293
curated-07-glp,standard_curated,glp,,What GLP-1 Does to Your Drive,Static #4.png,Concept 1 - GLP Hidden Drive Drain | Concept 4 - Quiz Daily Decline / System Problem,2,C1,Concept 1 - GLP Hidden Drive Drain,"GLP visual is about drive/energy/fatigue drain after GLP-1 weight loss, without a primary doctor/research frame.",120245565616550293 | 120245548527150293
curated-08-glp,standard_curated,glp,,Keep Your Drive Steady on GLP-1s,care_bag.jpg,Concept 2 - GLP Muscle + Metabolism Protection,1,C1,Concept 1 - GLP Hidden Drive Drain,"GLP visual is about drive/energy/fatigue drain after GLP-1 weight loss, without a primary doctor/research frame.",120245548619770293
curated-09-glp,standard_curated,glp,,The GLP-1 Side Effect No One Mentions,8.png,Concept 3 - GLP Doctor-Missed Side Effect | Concept 5 - Quiz Offer / Proof / Guarantee,2,C2,Concept 2 - GLP Muscle + Metabolism Protection,"GLP visual is primarily body-composition, muscle, definition, metabolism, or before/after physique protection.",120245565641800293 | 120245548644580293
curated-10-glp,standard_curated,glp,,What GLP-1 Does to Your Drive,Static #1.png,Concept 1 - GLP Hidden Drive Drain,1,C1,Concept 1 - GLP Hidden Drive Drain,"GLP visual is about drive/energy/fatigue drain after GLP-1 weight loss, without a primary doctor/research frame.",120245548634220293
curated-11-glp,standard_curated,glp,,Keep Your Drive Steady on GLP-1s,Static #2.png,Concept 2 - GLP Muscle + Metabolism Protection | Concept 4 - Quiz Daily Decline / System Problem,2,C3,Concept 3 - GLP Doctor-Missed Side Effect,"GLP visual uses doctor, medical, research, warning, article, or side-effect framing as the dominant hook.",120245565364870293 | 120245547665850293
curated-12-glp,standard_curated,glp,,The GLP-1 Side Effect No One Mentions,11.png,Concept 3 - GLP Doctor-Missed Side Effect,1,C1,Concept 1 - GLP Hidden Drive Drain,"GLP visual is about drive/energy/fatigue drain after GLP-1 weight loss, without a primary doctor/research frame.",120245548603810293
curated-13-glp,standard_curated,glp,,What GLP-1 Does to Your Drive,old_school.jpg,Concept 1 - GLP Hidden Drive Drain | Concept 4 - Quiz Daily Decline / System Problem,2,C3,Concept 3 - GLP Doctor-Missed Side Effect,"GLP visual uses doctor, medical, research, warning, article, or side-effect framing as the dominant hook.",120245565635240293 | 120245548593330293
curated-14-glp,standard_curated,glp,,Keep Your Drive Steady on GLP-1s,drawing.jpg,Concept 2 - GLP Muscle + Metabolism Protection | Concept 5 - Quiz Offer / Proof / Guarantee,2,C1,Concept 1 - GLP Hidden Drive Drain,"GLP visual is about drive/energy/fatigue drain after GLP-1 weight loss, without a primary doctor/research frame.",120245565629900293 | 120245548579780293
curated-15-glp,standard_curated,glp,,The GLP-1 Side Effect No One Mentions,brush.jpg,Concept 3 - GLP Doctor-Missed Side Effect,1,C1,Concept 1 - GLP Hidden Drive Drain,"GLP visual is about drive/energy/fatigue drain after GLP-1 weight loss, without a primary doctor/research frame.",120245548379050293
curated-16-glp,standard_curated,glp,,What GLP-1 Does to Your Drive,_initial_swipe_contact_sheet.jpg,Concept 1 - GLP Hidden Drive Drain,1,C3,Concept 3 - GLP Doctor-Missed Side Effect,"GLP visual uses doctor, medical, research, warning, article, or side-effect framing as the dominant hook.",120245548456240293
curated-17-glp,standard_curated,glp,,Keep Your Drive Steady on GLP-1s,researchers.jpg,Concept 1 - GLP Hidden Drive Drain | Concept 2 - GLP Muscle + Metabolism Protection,2,C3,Concept 3 - GLP Doctor-Missed Side Effect,"GLP visual uses doctor, medical, research, warning, article, or side-effect framing as the dominant hook.",120245565625290293 | 120245548568280293
curated-18-glp,standard_curated,glp,,The GLP-1 Side Effect No One Mentions,target_1.jpg,Concept 3 - GLP Doctor-Missed Side Effect | Concept 5 - Quiz Offer / Proof / Guarantee,2,C1,Concept 1 - GLP Hidden Drive Drain,"GLP visual is about drive/energy/fatigue drain after GLP-1 weight loss, without a primary doctor/research frame.",120245565609280293 | 120245548505570293
curated-19-glp,standard_curated,glp,,What GLP-1 Does to Your Drive,big_text.jpg,Concept 1 - GLP Hidden Drive Drain | Concept 2 - GLP Muscle + Metabolism Protection,2,C3,Concept 3 - GLP Doctor-Missed Side Effect,"GLP visual uses doctor, medical, research, warning, article, or side-effect framing as the dominant hook.",120245565603120293 | 120245548413740293
curated-20-glp,standard_curated,glp,,Keep Your Drive Steady on GLP-1s,9.png,Concept 2 - GLP Muscle + Metabolism Protection,1,C2,Concept 2 - GLP Muscle + Metabolism Protection,"GLP visual is primarily body-composition, muscle, definition, metabolism, or before/after physique protection.",120245548559220293
curated-21-glp,standard_curated,glp,,The GLP-1 Side Effect No One Mentions,10.png,Concept 3 - GLP Doctor-Missed Side Effect,1,C2,Concept 2 - GLP Muscle + Metabolism Protection,"GLP visual is primarily body-composition, muscle, definition, metabolism, or before/after physique protection.",120245548546910293
curated-22-glp,standard_curated,glp,,What GLP-1 Does to Your Drive,12.png,Concept 1 - GLP Hidden Drive Drain | Concept 3 - GLP Doctor-Missed Side Effect,2,C2,Concept 2 - GLP Muscle + Metabolism Protection,"GLP visual is primarily body-composition, muscle, definition, metabolism, or before/after physique protection.",120245565353430293 | 120245547621510293
curated-23-glp,standard_curated,glp,,Keep Your Drive Steady on GLP-1s,raise_a_winner.jpg,Concept 2 - GLP Muscle + Metabolism Protection | Concept 3 - GLP Doctor-Missed Side Effect,2,C1,Concept 1 - GLP Hidden Drive Drain,"GLP visual is about drive/energy/fatigue drain after GLP-1 weight loss, without a primary doctor/research frame.",120245565450770293 | 120245547887800293
curated-24-glp,standard_curated,glp,,The GLP-1 Side Effect No One Mentions,boss_babe.jpg,Concept 3 - GLP Doctor-Missed Side Effect | Concept 4 - Quiz Daily Decline / System Problem,2,C3,Concept 3 - GLP Doctor-Missed Side Effect,"GLP visual uses doctor, medical, research, warning, article, or side-effect framing as the dominant hook.",120245565598110293 | 120245548358140293
curated-25-glp,standard_curated,glp,,What GLP-1 Does to Your Drive,green.jpg,Concept 1 - GLP Hidden Drive Drain | Concept 5 - Quiz Offer / Proof / Guarantee,2,C3,Concept 3 - GLP Doctor-Missed Side Effect,"GLP visual uses doctor, medical, research, warning, article, or side-effect framing as the dominant hook.",120245565589240293 | 120245548339780293
